customer_id,area,registration_date,customer_segment,total_orders,avg_order_value
97475543,Udupi,2023-05-13,Premium,13,451.92
22077605,Aligarh,2024-06-18,Inactive,4,825.48
47822591,Begusarai,2024-09-25,Regular,17,1969.81
79726146,Kozhikode,2023-10-04,New,4,220.09
57102800,Ichalkaranji,2024-03-22,Inactive,14,578.14
54748429,Visakhapatnam,2024-04-22,New,2,669.35
49152878,Gwalior,2024-09-13,Premium,4,973.62
16379942,Orai,2024-04-10,Inactive,15,1370.56
11071601,Buxar,2023-07-04,Inactive,17,1950.54
68164013,Malegaon,2023-06-29,New,1,1061.82
80404839,Katni,2023-04-13,Inactive,10,1537.35
27038630,Fatehpur,2023-04-27,Regular,11,1307.28
1655637,Ichalkaranji,2023-09-17,Regular,19,723.95
75566105,Hyderabad,2024-03-20,Regular,18,1432.53
23961725,Bhiwandi,2024-05-11,Regular,6,367.74
67749649,Mira-Bhayandar,2024-04-10,Inactive,11,281.16
61461253,Amravati,2024-08-29,Inactive,4,789.5
30619659,Kochi,2024-09-18,Inactive,14,1992.42
50229203,Tiruchirappalli,2023-09-14,Regular,7,1731.87
13567338,Hubli–Dharwad,2024-10-14,Premium,10,1054.12
7591711,Nagercoil,2024-01-30,Regular,12,1494.0
22102079,Alwar,2024-06-21,Premium,10,615.86
48910430,Bardhaman,2024-09-04,Premium,3,1474.04
27604184,Nandyal,2023-10-06,New,9,1108.86
79672044,Hapur,2023-12-17,New,8,1115.88
13461704,Nanded,2024-04-04,Premium,4,1024.45
66135710,Ramgarh,2023-11-28,New,6,308.63
50572914,Bihar Sharif,2023-10-21,Regular,20,701.55
4386273,Nandyal,2024-06-26,Inactive,12,298.97
57537308,Jorhat,2024-05-18,New,8,1641.88
34526442,Raipur,2023-09-27,Regular,14,1956.45
67383024,Kollam,2024-04-10,Premium,14,1240.9
28350645,Ratlam,2024-01-12,Inactive,9,553.0
81940369,Nellore,2024-02-24,Premium,10,316.79
89950235,Warangal,2023-12-24,Premium,13,1179.29
88202341,Kottayam,2023-08-20,Inactive,9,644.06
41155125,Tenali,2024-04-22,Inactive,14,1454.3
46369552,Jaipur,2024-09-16,Regular,17,456.51
48943848,Patiala,2024-06-21,Premium,13,245.46
39645619,Maheshtala,2023-06-17,Regular,13,1512.4
76917159,Ludhiana,2024-06-23,Premium,11,1777.83
72366758,Ichalkaranji,2023-11-19,Inactive,9,513.7
66140659,Ongole,2023-12-09,Premium,8,509.85
87457446,Katihar,2024-07-02,Premium,7,1301.39
10830043,Hospet,2023-10-15,New,9,899.6
97150234,Bihar Sharif,2023-11-22,New,13,1527.55
72489544,Siwan,2024-09-19,Inactive,17,1600.17
81352781,Dehradun,2024-02-27,Regular,4,564.55
88130777,North Dumdum,2023-10-17,New,16,301.23
65294340,Jamalpur,2024-04-16,New,17,356.29
40387944,Parbhani,2024-03-15,Regular,10,569.91
91868185,Srinagar,2023-10-15,New,1,1657.84
31846190,Kolkata,2024-09-08,New,4,1176.18
15529446,Haridwar,2023-10-10,Premium,9,854.35
20956158,Kavali,2024-03-10,Premium,7,312.69
68159723,Orai,2024-05-21,New,6,1214.62
48554440,Malegaon,2024-03-28,Regular,17,1354.99
966247,Junagadh,2023-11-16,Inactive,13,1110.76
40015980,Katni,2023-06-28,New,18,1031.91
63262519,Karaikudi,2024-02-21,Regular,10,607.45
81763298,Ichalkaranji,2023-07-29,Premium,1,1747.14
49985597,Kishanganj,2024-08-06,Regular,3,775.73
21282544,Jaunpur,2024-08-28,Regular,16,657.98
78868716,Madhyamgram,2023-12-10,Inactive,5,1774.41
30733165,Ujjain,2024-05-10,Inactive,10,1609.11
78678612,Mehsana,2024-06-20,Premium,1,795.06
48511124,Korba,2023-05-15,Inactive,10,1076.14
26412689,Bahraich,2024-06-13,Regular,1,1700.46
26303194,Pali,2023-04-29,Premium,18,1045.94
93735495,Jehanabad,2023-05-23,Regular,7,871.15
8395610,Erode,2024-03-23,Inactive,18,294.53
41640262,Ulhasnagar,2023-08-17,Inactive,9,1805.87
60618999,Pudukkottai,2024-07-28,Regular,15,1631.96
77220027,Coimbatore,2023-12-11,Premium,16,551.81
32019725,Panchkula,2024-01-19,Premium,19,1169.96
38709137,Mau,2023-07-07,Inactive,18,1307.64
11540364,Firozabad,2024-09-24,New,20,517.32
59207798,Ballia,2023-07-02,Premium,4,1441.64
10797688,Bathinda,2023-05-22,New,7,1017.39
88965399,Guntur,2024-05-28,Regular,3,1144.21
10608845,Bhilwara,2024-03-29,Premium,2,735.36
28603182,South Dumdum,2024-08-02,New,11,490.13
1152215,Dhanbad,2024-05-27,Inactive,2,1637.43
24357425,Farrukhabad,2024-07-17,Inactive,6,798.18
93924203,Jorhat,2023-04-21,Premium,18,1360.15
61406908,Deoghar,2023-12-24,Regular,1,458.39
78841932,Guna,2024-04-19,Inactive,4,979.63
67310893,Chennai,2024-04-10,New,19,1592.94
666589,Morbi,2023-07-31,Regular,15,465.38
73639935,Medininagar,2023-09-21,Inactive,10,360.91
51592174,Secunderabad,2023-08-11,New,2,794.83
12338529,Bangalore,2024-10-03,New,11,347.1
81757554,Shimoga,2024-04-18,Premium,12,1815.02
95372766,Latur,2024-01-15,Regular,9,629.05
28111842,Tirunelveli,2024-09-09,Premium,8,1892.45
27878182,Thoothukudi,2023-03-30,Inactive,1,1023.51
27353891,Parbhani,2023-06-25,Premium,20,1110.61
19179897,Orai,2023-08-14,Premium,18,1491.58
63630649,Vijayawada,2023-09-02,Premium,8,1626.79
16359370,South Dumdum,2023-12-05,Premium,1,1352.7
