order_id,customer_id,order_date,order_date_only,payment_method,store_id,delivery_partner_id,delivery_status,order_total
1961864118,30065862,2024-07-17 08:34:01,2024-07-17,Cash,4771,63230,On Time,3197.07
1549769649,9573071,2024-05-28 13:14:29,2024-05-28,Cash,7534,14983,On Time,976.55
9185164487,45477575,2024-09-23 13:07:12,2024-09-23,UPI,9886,39859,On Time,839.05
9644738826,88067569,2023-11-24 16:16:56,2023-11-24,Card,7917,61497,On Time,440.23
5427684290,83298567,2023-11-20 05:00:39,2023-11-20,Cash,2741,84315,On Time,2526.68
3265154092,43367112,2023-03-18 16:29:51,2023-03-18,UPI,3442,554,On Time,3161.43
4898355547,13284996,2023-04-16 18:50:37,2023-04-16,Card,1318,14630,On Time,956.4
6568151549,88866835,2024-03-31 06:26:48,2024-03-31,Cash,115,67714,On Time,905.47
6006693867,24496983,2023-07-13 23:49:36,2023-07-13,Card,9021,91362,On Time,1371.17
374186990,52215833,2023-08-09 01:17:30,2023-08-09,Wallet,7955,77203,Slightly Delayed,1601.19
4455336265,43431724,2023-08-30 19:37:06,2023-08-30,UPI,3784,64046,On Time,2362.33
3539286337,77559557,2023-04-25 20:32:24,2023-04-25,Wallet,2463,94899,On Time,1463.8
9171116867,87107263,2023-10-22 11:15:33,2023-10-22,Card,6899,73907,Slightly Delayed,822.63
5504941865,76512976,2024-01-28 02:39:11,2024-01-28,Wallet,9809,56077,Slightly Delayed,2287.68
5868326481,37556526,2024-03-15 21:07:07,2024-03-15,Wallet,3106,94140,On Time,1962.35
2137046916,12059049,2024-02-03 08:50:32,2024-02-03,UPI,1007,12377,On Time,3373.96
8195544338,26199489,2023-04-26 04:03:57,2023-04-26,Wallet,3809,102,Slightly Delayed,845.71
2889700050,84848018,2024-04-30 16:22:26,2024-04-30,Wallet,78,45032,On Time,2706.54
65827885,47577193,2023-07-27 00:13:05,2023-07-27,Cash,3817,1108,On Time,1132.98
4656471694,60728956,2023-12-09 08:08:08,2023-12-09,Cash,5739,62782,Slightly Delayed,1525.5
6625178717,62068277,2023-07-01 04:24:22,2023-07-01,Card,2130,74906,Slightly Delayed,5718.09
7169557514,84824280,2023-03-21 05:27:13,2023-03-21,Card,9535,79516,Slightly Delayed,2970.9
2268306684,66742602,2024-05-28 14:59:08,2024-05-28,Wallet,6847,65733,On Time,2991.57
6905293278,97259564,2024-06-16 10:23:23,2024-06-16,Cash,4187,53868,Significantly Delayed,1404.68
1769493463,3292927,2024-06-26 07:13:47,2024-06-26,Wallet,7071,22954,On Time,2541.32
5003387344,26592009,2024-06-23 10:53:47,2024-06-23,Wallet,7477,21004,On Time,2475.69
2064484752,89995124,2024-05-07 22:42:49,2024-05-07,Wallet,1116,43022,On Time,1949.92
964822979,88520326,2024-07-13 10:38:00,2024-07-13,Wallet,7603,42914,On Time,5804.23
6037899648,22738465,2024-03-27 17:44:43,2024-03-27,Cash,914,59131,On Time,1231.03
9347571484,29562072,2024-11-02 17:15:15,2024-11-02,Card,9615,88612,Slightly Delayed,3138.06
3286177534,10225164,2023-06-24 23:52:15,2023-06-24,Wallet,6046,90038,On Time,3612.26
9073572548,97111069,2023-05-02 23:13:42,2023-05-02,Card,6542,28575,Significantly Delayed,1091.89
8395583761,1989720,2024-08-04 23:35:44,2024-08-04,UPI,5448,84816,On Time,410.62
6355378227,67092149,2023-08-11 16:52:36,2023-08-11,UPI,810,23910,On Time,5019.02
277376321,89784343,2024-07-28 04:25:12,2024-07-28,Wallet,3357,78589,On Time,3694.48
8559748526,45868300,2023-04-05 18:07:19,2023-04-05,Wallet,2270,93002,On Time,1152.09
1458051433,50760752,2024-04-26 09:14:56,2024-04-26,UPI,7426,61040,On Time,1055.18
5838302640,96795047,2023-05-12 05:46:25,2023-05-12,UPI,4242,30907,Slightly Delayed,3377.44
1380971977,16561710,2024-06-02 13:04:55,2024-06-02,Cash,6655,52614,On Time,3117.74
1221099013,35156679,2023-07-23 10:45:59,2023-07-23,Wallet,8589,60689,On Time,4335.11
6771166303,87718744,2023-07-24 04:21:07,2023-07-24,Wallet,2820,98179,Slightly Delayed,816.38
7111337755,10524732,2023-05-06 05:52:44,2023-05-06,Cash,4083,84833,On Time,1550.71
5562922993,62416456,2023-12-06 02:04:19,2023-12-06,Wallet,418,73904,On Time,2292.64
5630957897,69925688,2024-06-18 07:17:42,2024-06-18,Wallet,468,14408,On Time,827.44
1787380558,5140660,2023-11-08 17:24:58,2023-11-08,Cash,862,95835,On Time,2066.77
32613017,82594354,2023-03-17 00:20:41,2023-03-17,Card,3364,77303,On Time,2354.28
2039041670,88324928,2024-11-01 09:45:47,2024-11-01,Wallet,1003,31963,Slightly Delayed,96.33
210693801,71235336,2024-08-21 03:59:25,2024-08-21,UPI,4184,14789,On Time,3561.22
8120002258,57833505,2024-01-01 00:05:08,2024-01-01,Card,6830,61526,On Time,1213.05
