campaign_id,campaign_name,date,target_audience,channel,impressions,clicks,conversions,spend,revenue_generated,roas,ctr,conversion_rate,roas_calc
548299,New User Discount,2024-11-05,Premium,App,3130,163,78,1431.85,4777.75,3.6,0.05207667731629393,0.4785276073619632,3.3367671194608377
390914,Weekend Special,2024-11-05,Inactive,App,3925,494,45,4506.34,6238.11,2.98,0.12585987261146497,0.09109311740890688,1.384296346924555
834385,Festival Offer,2024-11-05,Inactive,Email,7012,370,78,4524.23,2621.0,2.95,0.05276668568168853,0.21081081081081082,0.5793251006248578
241523,Flash Sale,2024-11-05,Inactive,SMS,1115,579,86,3622.79,2955.0,2.84,0.5192825112107623,0.14853195164075994,0.8156696910392267
595111,Membership Drive,2024-11-05,New Users,Email,7172,795,54,2888.99,8951.81,2.22,0.11084774121583937,0.06792452830188679,3.098595010713087
176344,Category Promotion,2024-11-05,Inactive,App,4333,421,40,2714.78,6697.88,3.89,0.09716132010154627,0.09501187648456057,2.467190711586206
875646,App Push Notification,2024-11-05,Premium,Email,4752,937,21,3584.76,9152.99,2.14,0.19718013468013468,0.022411953041622197,2.553306218547406
5516,Email Campaign,2024-11-05,Premium,Social Media,1559,418,68,1457.88,2156.09,3.92,0.268120590121873,0.16267942583732056,1.4789214475814196
989534,Referral Program,2024-11-05,New Users,SMS,3838,911,45,4808.64,8074.17,1.7,0.23736321000521104,0.04939626783754116,1.6790963765222597
243346,New User Discount,2024-11-04,Inactive,SMS,6289,834,14,3746.35,4474.02,2.56,0.1326124980124026,0.016786570743405275,1.1942343881377875
775791,Weekend Special,2024-11-04,Inactive,App,1068,496,87,1043.7,9535.85,3.15,0.46441947565543074,0.17540322580645162,9.136581393120629
178345,Festival Offer,2024-11-04,Inactive,Social Media,4229,914,84,1370.63,3521.16,1.65,0.2161267439110901,0.09190371991247265,2.5690084121900143
60966,Flash Sale,2024-11-04,Inactive,App,2712,161,89,4870.23,2626.78,2.03,0.05936578171091445,0.5527950310559007,0.5393544042067829
209071,Membership Drive,2024-11-04,New Users,Social Media,9365,753,53,3817.01,7072.56,1.55,0.0804057661505606,0.0703851261620186,1.8529058084731242
712164,Category Promotion,2024-11-04,All,App,4813,321,88,2512.51,6494.09,2.55,0.06669436941616455,0.27414330218068533,2.584702150439202
301304,App Push Notification,2024-11-04,Inactive,Social Media,8840,466,24,1776.92,5356.59,3.17,0.05271493212669683,0.05150214592274678,3.0145363888075996
755362,Email Campaign,2024-11-04,Inactive,App,7409,949,99,1599.21,7907.75,1.93,0.12808746119584288,0.10432033719704953,4.94478523771112
362255,Referral Program,2024-11-04,Premium,SMS,1997,599,92,3328.47,2278.39,3.09,0.299949924887331,0.15358931552587646,0.6845157084185827
538453,New User Discount,2024-11-03,New Users,Social Media,9594,692,58,3712.46,2591.79,3.01,0.07212841359182823,0.0838150289017341,0.69813277449454
146888,Weekend Special,2024-11-03,New Users,Email,8974,799,64,4907.38,9623.97,2.36,0.0890349899710274,0.08010012515644556,1.9611218206048846
36202,Festival Offer,2024-11-03,New Users,Email,7102,858,53,1454.23,8523.27,2.87,0.12081103914390312,0.06177156177156177,5.861019233546275
232494,Flash Sale,2024-11-03,All,Social Media,9487,109,54,1364.19,5855.87,1.61,0.011489406556340256,0.4954128440366973,4.292561886540731
757108,Membership Drive,2024-11-03,Inactive,Email,5922,258,41,1815.23,9798.33,2.73,0.04356636271529889,0.15891472868217055,5.397844901197093
294530,Category Promotion,2024-11-03,All,App,4630,860,76,4337.91,3326.76,1.86,0.1857451403887689,0.08837209302325581,0.7669038776738107
627085,App Push Notification,2024-11-03,All,Email,6291,130,66,4644.01,2649.48,3.23,0.020664441265299635,0.5076923076923077,0.5705155673652726
954798,Email Campaign,2024-11-03,All,Email,6347,737,100,2352.91,5816.29,3.0,0.11611785095320624,0.13568521031207598,2.4719560034170454
675313,Referral Program,2024-11-03,New Users,Email,2465,560,60,4857.36,2528.08,1.62,0.22718052738336714,0.10714285714285714,0.5204637910305187
588949,New User Discount,2024-11-02,Premium,App,7171,211,22,3120.88,8989.36,3.51,0.029424069167480128,0.10426540284360189,2.8803927097485325
137874,Weekend Special,2024-11-02,All,App,6082,497,59,1897.04,3654.1,1.95,0.08171654061164091,0.11871227364185111,1.926211360856914
674904,Festival Offer,2024-11-02,New Users,Social Media,3297,613,19,3819.45,2007.51,3.75,0.1859265999393388,0.03099510603588907,0.5256018536700311
783220,Flash Sale,2024-11-02,Inactive,App,5550,633,12,1947.14,3460.9,2.75,0.11405405405405405,0.018957345971563982,1.7774274063498259
877083,Membership Drive,2024-11-02,Premium,SMS,3446,155,51,3415.84,8018.45,3.18,0.04497968659315148,0.32903225806451614,2.3474313785189
228966,Category Promotion,2024-11-02,Premium,SMS,8998,632,55,4905.7,8801.61,3.79,0.07023783062902868,0.08702531645569621,1.794159854862711
531307,App Push Notification,2024-11-02,All,App,7562,975,73,2298.76,7097.94,1.8,0.12893414440624174,0.07487179487179488,3.0877255563869213
51098,Email Campaign,2024-11-02,New Users,SMS,1423,802,40,1818.73,4672.26,3.83,0.5635980323260716,0.04987531172069826,2.568968456010513
501568,Referral Program,2024-11-02,Premium,Email,7215,508,25,2202.62,3845.1,1.84,0.07040887040887041,0.04921259842519685,1.7456937646984048
703072,New User Discount,2024-11-01,All,App,4360,724,38,1905.02,4231.84,3.01,0.16605504587155964,0.052486187845303865,2.221414998267735
978279,Weekend Special,2024-11-01,All,Email,9713,686,94,2062.29,9160.3,3.06,0.07062699474930506,0.13702623906705538,4.441809832758729
