order_id,product_id,quantity,unit_price,product_name,category,brand,mrp,margin_percentage,shelf_life_days,line_sales
1961864118,642612,3,517.03,Pet Treats,Pet Care,Pillay-Ahuja,795.43,35.0,365,1551.09
1549769649,378676,1,881.42,Orange Juice,Cold Drinks & Juices,Baral-Kamdar,1259.17,30.0,180,881.42
9185164487,741341,2,923.84,Eggs,Dairy & Breakfast,Prasad LLC,1154.8,20.0,7,1847.68
9644738826,561860,1,874.78,Orange Juice,Cold Drinks & Juices,Gupta Ltd,1249.69,30.0,180,874.78
5427684290,602241,2,976.55,Nuts,Snacks & Munchies,Bahl-Pau,1502.38,35.0,90,1953.1
3265154092,681063,1,321.28,Mango Drink,Cold Drinks & Juices,Dass and Sons,458.97,30.0,180,321.28
4898355547,56589,3,517.77,Vitamins,Pharmacy,"Pai, Kashyap and Ramachandran",647.21,20.0,365,1553.31
6568151549,500739,2,359.98,Bread,Dairy & Breakfast,Aggarwal Group,449.98,20.0,7,719.96
6006693867,490939,1,80.25,Lotion,Personal Care,"Roy, Barad and De",123.46,35.0,365,80.25
374186990,760828,2,563.45,Pet Treats,Pet Care,"Khurana, Khosla and Yohannan",866.85,35.0,365,1126.9
4455336265,753354,3,423.56,Shampoo,Personal Care,Sant-Mahajan,651.63,35.0,365,1270.68
3539286337,684939,1,727.95,Lotion,Personal Care,"Sibal, Bhatnagar and Rajan",1119.92,35.0,365,727.95
9171116867,500739,3,359.98,Bread,Dairy & Breakfast,Aggarwal Group,449.98,20.0,7,1079.94
5504941865,540618,1,317.05,Popcorn,Snacks & Munchies,Golla-Luthra,487.77,35.0,90,317.05
5868326481,53833,3,134.69,Rice,Grocery & Staples,Tella-Master,158.46,15.0,365,404.07
2137046916,455755,2,44.09,Detergent,Household Care,Mangal-Sathe,58.79,25.0,365,88.18
8195544338,131937,1,287.81,Frozen Pizza,Instant & Frozen Food,"Varkey, Devi and Ganguly",479.68,40.0,180,287.81
2889700050,798639,1,211.25,Eggs,Dairy & Breakfast,Subramaniam LLC,264.06,20.0,7,211.25
65827885,324809,3,608.0,Bread,Dairy & Breakfast,Sidhu PLC,760.0,20.0,7,1824.0
4656471694,679284,1,877.89,Cough Syrup,Pharmacy,Pant LLC,1097.36,20.0,365,877.89
6625178717,952168,3,236.95,Popcorn,Snacks & Munchies,"Krishnamurthy, Sibal and Das",364.54,35.0,90,710.8499999999999
7169557514,706112,2,478.79,Vitamins,Pharmacy,"Magar, Gara and Garg",598.49,20.0,365,957.58
2268306684,812607,2,416.65,Potatoes,Fruits & Vegetables,Rege Group,555.53,25.0,3,833.3
6905293278,799952,1,922.64,Cheese,Dairy & Breakfast,Padmanabhan-Virk,1153.3,20.0,7,922.64
1769493463,709916,3,33.76,Detergent,Household Care,Varkey LLC,45.01,25.0,365,101.28
5003387344,67197,3,552.2,Butter,Dairy & Breakfast,Shetty-Bora,690.25,20.0,7,1656.6000000000001
2064484752,937542,3,97.04,Wheat Flour,Grocery & Staples,Khurana and Sons,114.16,15.0,365,291.12
964822979,455755,2,44.09,Detergent,Household Care,Mangal-Sathe,58.79,25.0,365,88.18
6037899648,669378,1,212.14,Potatoes,Fruits & Vegetables,Chadha and Sons,282.85,25.0,3,212.14
9347571484,112390,2,877.98,Toothpaste,Personal Care,"Kibe, Contractor and Randhawa",1350.74,35.0,365,1755.96
3286177534,891833,1,493.19,Curd,Dairy & Breakfast,Mani PLC,616.49,20.0,7,493.19
9073572548,60619,1,726.41,Iced Tea,Cold Drinks & Juices,Bhasin LLC,1037.73,30.0,180,726.41
8395583761,561860,3,874.78,Orange Juice,Cold Drinks & Juices,Gupta Ltd,1249.69,30.0,180,2624.34
6355378227,993331,1,102.44,Pulses,Grocery & Staples,"Parmer, Gola and Yogi",120.52,15.0,365,102.44
277376321,94225,3,77.11,Toilet Cleaner,Household Care,"Gulati, Ram and Sarkar",102.81,25.0,365,231.32999999999998
8559748526,552496,1,508.0,Dish Soap,Household Care,Dhar PLC,677.33,25.0,365,508.0
1458051433,57405,3,607.67,Baby Food,Baby Care,Srinivas PLC,868.1,30.0,365,1823.0099999999998
5838302640,240179,3,90.56,Cough Syrup,Pharmacy,Ram-Suri,113.2,20.0,365,271.68
1380971977,602241,3,976.55,Nuts,Snacks & Munchies,Bahl-Pau,1502.38,35.0,90,2929.6499999999996
1221099013,131937,1,287.81,Frozen Pizza,Instant & Frozen Food,"Varkey, Devi and Ganguly",479.68,40.0,180,287.81
6771166303,677542,3,212.61,Toilet Cleaner,Household Care,Thaman-Lanka,283.48,25.0,365,637.83
7111337755,888807,3,230.58,Bread,Dairy & Breakfast,Arya Group,288.23,20.0,7,691.74
5562922993,540618,1,317.05,Popcorn,Snacks & Munchies,Golla-Luthra,487.77,35.0,90,317.05
5630957897,876139,2,415.75,Pulses,Grocery & Staples,Cherian-Dara,489.12,15.0,365,831.5
1787380558,444361,3,822.63,Pain Reliever,Pharmacy,"Prakash, Bawa and Kale",1028.29,20.0,365,2467.89
32613017,451812,1,530.85,Pain Reliever,Pharmacy,"Batra, Sant and Mandal",663.56,20.0,365,530.85
2039041670,287070,1,443.17,Wheat Flour,Grocery & Staples,"Gala, Magar and Rajagopal",521.38,15.0,365,443.17
210693801,432617,3,863.18,Baby Wipes,Baby Care,Dora-Pillai,1233.11,30.0,365,2589.54
8120002258,131937,1,287.81,Frozen Pizza,Instant & Frozen Food,"Varkey, Devi and Ganguly",479.68,40.0,180,287.81
2177917034,144124,2,162.67,Detergent,Household Care,Lalla-Srinivasan,216.89,25.0,365,325.34
4254814926,324809,1,608.0,Bread,Dairy & Breakfast,Sidhu PLC,760.0,20.0,7,608.0
6074172790,888807,2,230.58,Bread,Dairy & Breakfast,Arya Group,288.23,20.0,7,461.16
3381573131,684939,1,727.95,Lotion,Personal Care,"Sibal, Bhatnagar and Rajan",1119.92,35.0,365,727.95
3773745777,734789,1,395.82,Popcorn,Snacks & Munchies,"Chaudhari, Pant and Singh",608.95,35.0,90,395.82
9251939156,876139,3,415.75,Pulses,Grocery & Staples,Cherian-Dara,489.12,15.0,365,1247.25
3872982303,56589,2,517.77,Vitamins,Pharmacy,"Pai, Kashyap and Ramachandran",647.21,20.0,365,1035.54
2625987757,890232,1,432.0,Mango Drink,Cold Drinks & Juices,Jha Group,617.14,30.0,180,432.0
3162249401,432617,1,863.18,Baby Wipes,Baby Care,Dora-Pillai,1233.11,30.0,365,863.18
3108986741,687218,3,317.82,Mango Drink,Cold Drinks & Juices,"Sankaran, Pall and Gola",454.03,30.0,180,953.46
1851474741,970529,3,827.44,Diapers,Baby Care,"Kurian, Patla and Sanghvi",1182.06,30.0,365,2482.32
2425099132,604184,2,397.55,Toilet Cleaner,Household Care,"Gaba, Sodhi and Choudhary",530.07,25.0,365,795.1
6706793332,615545,2,448.16,Soap,Personal Care,Barman Inc,689.48,35.0,365,896.32
2149289255,567671,3,418.48,Biscuits,Snacks & Munchies,Nagar LLC,643.82,35.0,90,1255.44
1971008155,222892,1,869.22,Tomatoes,Fruits & Vegetables,Ramakrishnan-Ghose,1158.96,25.0,3,869.22
2087093460,34186,2,925.65,Mangoes,Fruits & Vegetables,Mandal-Kar,1234.2,25.0,3,1851.3
2116712588,891833,1,493.19,Curd,Dairy & Breakfast,Mani PLC,616.49,20.0,7,493.19
6054358790,532965,1,307.23,Frozen Pizza,Instant & Frozen Food,Sachdev Inc,512.05,40.0,180,307.23
532660797,962054,2,16.86,Orange Juice,Cold Drinks & Juices,Toor-Nagar,24.09,30.0,180,33.72
1491991005,33955,1,186.08,Frozen Pizza,Instant & Frozen Food,Baral Group,310.13,40.0,180,186.08
4136019599,644847,3,622.81,Salt,Grocery & Staples,"Jhaveri, Kata and Kapur",732.72,15.0,365,1868.4299999999998
2122832513,954722,1,616.45,Ice Cream,Instant & Frozen Food,Mohan-Virk,1027.42,40.0,180,616.45
3717703595,500633,3,154.5,Cereal,Dairy & Breakfast,Trivedi-Ahluwalia,193.12,20.0,7,463.5
3194733693,240179,2,90.56,Cough Syrup,Pharmacy,Ram-Suri,113.2,20.0,365,181.12
4471162437,820973,1,114.52,Baby Wipes,Baby Care,Lall LLC,163.6,30.0,365,114.52
1609331948,490602,3,549.47,Sugar,Grocery & Staples,Raghavan Inc,646.44,15.0,365,1648.41
6920030794,256783,2,906.54,Pet Treats,Pet Care,"Basu, Thakur and Rege",1394.68,35.0,365,1813.08
5127172657,913428,2,392.22,Pet Treats,Pet Care,Narayanan-Kumar,603.42,35.0,365,784.44
8607115856,324809,1,608.0,Bread,Dairy & Breakfast,Sidhu PLC,760.0,20.0,7,608.0
7154957395,516376,1,877.43,Onions,Fruits & Vegetables,Agarwal-Dhar,1169.91,25.0,3,877.43
2070762702,566052,3,87.3,Pain Reliever,Pharmacy,"Apte, Soman and Raju",109.12,20.0,365,261.9
3697242439,897083,2,972.69,Detergent,Household Care,Dutta-Halder,1296.92,25.0,365,1945.38
3063427913,799952,2,922.64,Cheese,Dairy & Breakfast,Padmanabhan-Virk,1153.3,20.0,7,1845.28
2060061337,690565,1,951.27,Cookies,Snacks & Munchies,"Roy, Seth and Patla",1463.49,35.0,90,951.27
4625892678,317242,1,198.15,Pulses,Grocery & Staples,Rastogi Group,233.12,15.0,365,198.15
6045698170,965755,3,532.57,Bananas,Fruits & Vegetables,"Doshi, Sarraf and Sama",710.09,25.0,3,1597.71
7876289647,863930,1,242.57,Shampoo,Personal Care,"Sathe, Agarwal and Dhar",373.18,35.0,365,242.57
3434084714,264803,2,995.98,Vitamins,Pharmacy,Gole-Doshi,1244.97,20.0,365,1991.96
9031695663,697683,1,123.74,Toilet Cleaner,Household Care,"Murty, Varghese and Saxena",164.99,25.0,365,123.74
1955989715,679284,1,877.89,Cough Syrup,Pharmacy,Pant LLC,1097.36,20.0,365,877.89
3459500455,992178,1,632.43,Pain Reliever,Pharmacy,Basu and Sons,790.54,20.0,365,632.43
5953376503,300159,1,44.35,Cola,Cold Drinks & Juices,"Basu, Rout and Mistry",63.36,30.0,180,44.35
121874867,952124,3,127.08,Onions,Fruits & Vegetables,"Wali, Sood and Bala",169.44,25.0,3,381.24
2460545397,925482,1,475.04,Frozen Biryani,Instant & Frozen Food,Viswanathan-Sha,791.73,40.0,180,475.04
9690050839,500633,2,154.5,Cereal,Dairy & Breakfast,Trivedi-Ahluwalia,193.12,20.0,7,309.0
2574349065,123983,3,785.67,Cough Syrup,Pharmacy,Kurian-Chhabra,982.09,20.0,365,2357.0099999999998
2461936988,272170,2,140.8,Ice Cream,Instant & Frozen Food,Purohit Group,234.67,40.0,180,281.6
6447596416,70969,1,631.7,Carrots,Fruits & Vegetables,Mohan Group,842.27,25.0,3,631.7
7228452275,757274,2,98.32,Pet Treats,Pet Care,"Minhas, Kapoor and Sethi",151.26,35.0,365,196.64
6696750742,14145,2,630.84,Spinach,Fruits & Vegetables,"Thakur, Shah and Pingle",841.12,25.0,3,1261.68
822235931,611575,3,482.06,Frozen Pizza,Instant & Frozen Food,"Bhat, Nigam and Hayer",803.43,40.0,180,1446.18
7678251499,704868,1,193.46,Detergent,Household Care,"Parikh, Oak and Kara",257.95,25.0,365,193.46
2497341976,451933,1,568.94,Wheat Flour,Grocery & Staples,Nadig Ltd,669.34,15.0,365,568.94
9107314128,820541,3,576.22,Toilet Cleaner,Household Care,"Borde, Peri and Upadhyay",768.29,25.0,365,1728.66
9855726256,349294,2,934.75,Onions,Fruits & Vegetables,Ganesan Ltd,1246.33,25.0,3,1869.5
9398719862,615545,2,448.16,Soap,Personal Care,Barman Inc,689.48,35.0,365,896.32
379494532,654297,3,13.25,Potatoes,Fruits & Vegetables,Chandran-Dass,17.67,25.0,3,39.75
1048784963,451933,2,568.94,Wheat Flour,Grocery & Staples,Nadig Ltd,669.34,15.0,365,1137.88
4386246924,613942,2,545.0,Pet Treats,Pet Care,"Dyal, Saraf and Goel",838.46,35.0,365,1090.0
2050362692,366066,1,918.58,Soap,Personal Care,Mandal LLC,1413.2,35.0,365,918.58
4142963293,287070,1,443.17,Wheat Flour,Grocery & Staples,"Gala, Magar and Rajagopal",521.38,15.0,365,443.17
9753528654,137909,1,864.3,Cough Syrup,Pharmacy,Dalal PLC,1080.37,20.0,365,864.3
