area,orders,sales,aov
Orai,44,99590.96,2263.430909090909
Deoghar,40,95386.05,2384.65125
Nandyal,36,83281.1,2313.363888888889
Gandhinagar,37,82273.95,2223.6202702702703
Bhopal,31,78854.32,2543.687741935484
Ghaziabad,32,72599.85,2268.7453125
Ahmednagar,30,72233.14,2407.771333333333
Jabalpur,30,70135.67,2337.855666666667
Jalna,30,69086.31,2302.877
Ratlam,35,67426.31,1926.466
Udaipur,31,67184.59,2167.2448387096774
Aurangabad,26,66887.78,2572.606923076923
Tezpur,30,65430.4,2181.0133333333333
Darbhanga,27,63746.12,2360.9674074074073
Bathinda,34,63497.76,1867.5811764705884
Kishanganj,29,62790.22,2165.18
Loni,24,62668.97,2611.2070833333332
Ludhiana,27,62560.38,2317.051111111111
Imphal,23,62160.09,2702.612608695652
Kottayam,24,61083.42,2545.1425
Baranagar,23,60920.03,2648.696956521739
Bulandshahr,27,60410.34,2237.42
Silchar,24,59957.47,2498.2279166666667
Chittoor,27,59732.73,2212.3233333333333
Erode,21,59081.37,2813.3985714285714
Burhanpur,28,58931.38,2104.6921428571427
Panihati,26,58585.26,2253.2792307692307
Jorhat,26,58363.64,2244.7553846153846
Pallavaram,24,58247.08,2426.9616666666666
Nagpur,23,56732.31,2466.6221739130433
Udupi,24,56626.23,2359.42625
Jammu,23,56550.46,2458.715652173913
Howrah,21,56549.72,2692.84380952381
Agra,27,56311.02,2085.5933333333332
Etawah,25,56199.75,2247.99
Bangalore,24,56000.520000000004,2333.355
Machilipatnam,27,55592.88,2058.9955555555553
Bellary,24,54258.81,2260.78375
Ulhasnagar,22,54062.9,2457.4045454545453
Vellore,22,54062.06,2457.3663636363635
Jamalpur,21,53827.21,2563.2004761904764
Dindigul,22,52934.36,2406.1072727272726
Firozabad,19,52523.22,2764.38
North Dumdum,24,52369.09,2182.0454166666664
Noida,24,51687.67,2153.6529166666664
Singrauli,21,51144.27,2435.4414285714283
Thiruvananthapuram,23,50596.29,2199.838695652174
Mysore,22,50384.06,2290.1845454545455
Saharsa,19,50264.04,2645.4757894736845
Pali,27,50251.64,1861.171851851852
Sambalpur,27,50183.6,1858.6518518518517
Kadapa,28,50179.270000000004,1792.116785714286
Unnao,22,50126.8,2278.490909090909
Nizamabad,26,49822.36,1916.2446153846154
Fatehpur,21,49369.15,2350.9119047619047
Amritsar,24,49366.22,2056.9258333333332
Faridabad,20,49182.52,2459.1259999999997
Agartala,18,49173.96,2731.8866666666668
Avadi,20,48180.79,2409.0395
Raiganj,25,48077.56,1923.1024
Allahabad,24,48023.05,2000.9604166666668
Gandhidham,21,47901.04,2281.001904761905
Pimpri-Chinchwad,22,47782.67,2171.939545454545
Thoothukudi,20,47384.93,2369.2465
Nanded,20,47279.68,2363.984
Kavali,20,47144.89,2357.2445
Madurai,16,46795.28,2924.705
Rajkot,24,46503.32,1937.6383333333333
Karawal Nagar,17,46313.97,2724.351176470588
Hindupur,23,45827.22,1992.4878260869566
Durg,14,45537.630000000005,3252.6878571428574
Sambhal,19,45300.48,2384.2357894736842
Ballia,18,45202.18,2511.2322222222224
Shivpuri,24,45159.950000000004,1881.6645833333334
Shahjahanpur,21,45039.31,2144.7290476190474
Gorakhpur,16,44925.82,2807.86375
Yamunanagar,22,44876.74,2039.851818181818
Satara,19,44730.56,2354.24
Ichalkaranji,24,44726.69,1863.6120833333334
Nangloi Jat,20,44567.92,2228.3959999999997
Rampur,22,44558.26,2025.3754545454547
Satna,17,44508.51,2618.1476470588236
Berhampur,21,44493.18,2118.7228571428573
Guna,20,44335.57,2216.7785
Mahbubnagar,17,44334.3,2607.9
Bhilwara,18,43682.15,2426.786111111111
Bhimavaram,21,43557.71,2074.1766666666667
Anantapur,20,43347.36,2167.368
Bijapur,23,43342.91,1884.474347826087
Gulbarga,16,43145.02,2696.56375
Dhule,19,43130.9,2270.047368421053
Adoni,18,42975.07,2387.503888888889
Bongaigaon,22,42909.13,1950.415
Kakinada,16,42850.39,2678.149375
Karaikudi,22,42811.45,1945.975
Ambala,20,42054.68,2102.734
Jamnagar,20,41776.8,2088.84
Rewa,18,41570.04,2309.4466666666667
Eluru,18,41401.67,2300.092777777778
Gwalior,19,41334.99,2175.525789473684
Maheshtala,22,41288.35,1876.7431818181817
Kota,18,41242.25,2291.2361111111113
Proddatur,20,41122.36,2056.118
Visakhapatnam,21,41043.92,1954.472380952381
Bareilly,16,41015.2,2563.45
Tadipatri,16,40976.28,2561.0175
Sonipat,22,40555.95,1843.4522727272727
Bidhannagar,19,40413.33,2127.0173684210527
Chennai,18,40411.64,2245.091111111111
Rajahmundry,18,40402.25,2244.5694444444443
Mumbai,16,40362.93,2522.683125
Patiala,19,40308.5,2121.5
Medininagar,17,40143.020000000004,2361.354117647059
Tadepalligudem,19,40109.1,2111.0052631578947
Aligarh,18,39681.26,2204.5144444444445
Tenali,21,39585.58,1885.027619047619
Asansol,17,39395.44,2317.378823529412
Navi Mumbai,14,39338.46,2809.89
Latur,21,39244.57,1868.7890476190476
Nellore,17,38966.25,2292.1323529411766
Tinsukia,18,38909.81,2161.656111111111
Pondicherry,17,38850.69,2285.334705882353
Guntakal,20,37916.020000000004,1895.8010000000002
Bhagalpur,21,37461.24,1783.8685714285714
Dehri,16,37430.7,2339.41875
Purnia,19,37420.39,1969.4942105263158
Arrah,22,37347.38,1697.6081818181817
Jodhpur,17,36952.17,2173.6570588235295
Danapur,17,36874.78,2169.104705882353
Kamarhati,16,36623.14,2288.94625
Korba,19,36481.68,1920.0884210526317
Buxar,15,36141.1,2409.4066666666668
Ongole,17,36093.67,2123.1570588235295
Guwahati,15,36092.47,2406.1646666666666
Panchkula,16,36080.479999999996,2255.0299999999997
Bilaspur,15,35985.74,2399.0493333333334
Anantapuram,15,35952.340000000004,2396.822666666667
Shimoga,15,35835.42,2389.028
Khammam,21,35711.5,1700.547619047619
Thanjavur,16,35671.85,2229.490625
Sultan Pur Majra,14,35117.04,2508.36
Berhampore,15,35103.53,2340.235333333333
Alappuzha,15,34901.75,2326.7833333333333
Junagadh,14,34771.46,2483.675714285714
Vadodara,14,34714.13,2479.5807142857143
Tirunelveli,14,34310.66,2450.761428571429
Bardhaman,17,34153.34,2009.0199999999998
Muzaffarnagar,15,34144.25,2276.2833333333333
Kozhikode,14,34124.45,2437.460714285714
Miryalaguda,18,34037.31,1890.9616666666666
Bettiah,15,33845.89,2256.3926666666666
Raebareli,19,33820.39,1780.0205263157895
Gaya,14,33697.1,2406.9357142857143
Ambattur,18,33686.43,1871.4683333333332
Bihar Sharif,14,33391.97,2385.1407142857142
Jaunpur,18,33050.01,1836.1116666666667
Kharagpur,11,32831.94,2984.7218181818184
Thane,17,32789.8,1928.8117647058825
Bhubaneswar,16,32757.86,2047.36625
Gangtok,15,32629.98,2175.332
Salem,20,32555.41,1627.7705
