category,units_sold,item_sales,estimated_gross_margin
Dairy & Breakfast,1114,639222.1900000001,127844.438
Pharmacy,973,592368.57,118473.71399999999
Fruits & Vegetables,966,559053.08,139763.27
Pet Care,1003,539888.75,188961.0625
Household Care,1078,444244.25,111061.0625
Personal Care,887,394894.61,138213.1135
Snacks & Munchies,963,394648.71,138127.0485
Cold Drinks & Juices,758,392717.62,117815.286
Grocery & Staples,895,359937.82,53990.673
Baby Care,655,348227.18,104468.154
Instant & Frozen Food,742,307212.65,122885.06000000001
